ANIO,MES,FECHA,FOLIO,CONCESIONARIO,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,S_RESIDENCIAL_E,S_NO_RESIDENCIAL_E,S_TOTAL_E
2016,03,15MAR2016,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,571","5,647","7,218"
2016,04,15APR2016,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,523","5,658","7,181"
2016,05,15MAY2016,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,476","5,673","7,149"
2016,06,15JUN2016,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,427","5,683","7,110"
2016,07,15JUL2016,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,342","5,540","6,882"
2016,08,15AUG2016,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,311","5,625","6,936"
2016,09,15SEP2016,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,289","5,752","7,041"
2016,10,15OCT2016,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,268","5,884","7,152"
2016,11,15NOV2016,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,244","6,025","7,269"
2016,12,15DEC2016,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,221","6,173","7,394"
2017,01,15JAN2017,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,197","22,694","23,891"
2017,02,15FEB2017,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,173","22,772","23,945"
2017,03,15MAR2017,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,152","22,957","24,109"
2017,04,15APR2017,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,128","23,268","24,396"
2017,05,15MAY2017,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,105","23,378","24,483"
