ANIO,MES,FECHA,K_GRUPO,GRUPO,MARKET_SHARE
2014,10,15OCT2014,G001,AXTEL,3.778%
2014,10,15OCT2014,C611,ULTRAVISION,0.007%
2014,11,15NOV2014,C599,TV REY,0.058%
2014,11,15NOV2014,G008,MEGACABLE-MCM,8.625%
2014,11,15NOV2014,G004,GRUPO TELEVISA,16.507%
2014,11,15NOV2014,C054,AXESAT,0.030%
2014,11,15NOV2014,C020,ALESTRA,0.028%
2014,11,15NOV2014,C611,ULTRAVISION,0.007%
2014,11,15NOV2014,G001,AXTEL,3.740%
2014,11,15NOV2014,G006,AMÉRICA MÓVIL,67.668%
2014,11,15NOV2014,C639,CABLEVISION RED,1.011%
2014,11,15NOV2014,C010,AIRECABLE,0.007%
2014,11,15NOV2014,C373,MAXCOM,1.255%
2014,11,15NOV2014,C584,TOTALPLAY,1.065%
2014,12,15DEC2014,C584,TOTALPLAY,1.170%
2014,12,15DEC2014,G008,MEGACABLE-MCM,9.368%
2014,12,15DEC2014,C054,AXESAT,0.030%
2014,12,15DEC2014,C020,ALESTRA,0.024%
2014,12,15DEC2014,G004,GRUPO TELEVISA,17.706%
2014,12,15DEC2014,C010,AIRECABLE,0.008%
2014,12,15DEC2014,G001,AXTEL,3.873%
2014,12,15DEC2014,C373,MAXCOM,1.292%
2014,12,15DEC2014,G006,AMÉRICA MÓVIL,65.362%
2014,12,15DEC2014,C639,CABLEVISION RED,1.097%
2014,12,15DEC2014,C599,TV REY,0.063%
2014,12,15DEC2014,C611,ULTRAVISION,0.008%
2015,01,15JAN2015,C611,ULTRAVISION,0.008%
2015,01,15JAN2015,C584,TOTALPLAY,1.209%
2015,01,15JAN2015,C020,ALESTRA,0.028%
2015,01,15JAN2015,C010,AIRECABLE,0.008%
2015,01,15JAN2015,G001,AXTEL,3.781%
2015,01,15JAN2015,C373,MAXCOM,1.284%
2015,01,15JAN2015,G004,GRUPO TELEVISA,19.042%
2015,01,15JAN2015,G006,AMÉRICA MÓVIL,64.942%
2015,01,15JAN2015,C599,TV REY,0.064%
2015,01,15JAN2015,G008,MEGACABLE-MCM,9.601%
2015,01,15JAN2015,C054,AXESAT,0.030%
2015,01,15JAN2015,C259,TRANSTELCO,0.003%
2015,02,15FEB2015,C599,TV REY,0.064%
2015,02,15FEB2015,G004,GRUPO TELEVISA,19.246%
2015,02,15FEB2015,C259,TRANSTELCO,0.003%
2015,02,15FEB2015,C584,TOTALPLAY,1.251%
2015,02,15FEB2015,C020,ALESTRA,0.028%
2015,02,15FEB2015,C010,AIRECABLE,0.008%
2015,02,15FEB2015,G001,AXTEL,3.685%
2015,02,15FEB2015,C373,MAXCOM,1.265%
2015,02,15FEB2015,C611,ULTRAVISION,0.008%
2015,02,15FEB2015,C054,AXESAT,0.030%
2015,02,15FEB2015,G008,MEGACABLE-MCM,9.804%
2015,02,15FEB2015,G006,AMÉRICA MÓVIL,64.607%
2015,03,15MAR2015,G008,MEGACABLE-MCM,9.970%
2015,03,15MAR2015,C611,ULTRAVISION,0.009%
2015,03,15MAR2015,C010,AIRECABLE,0.009%
2015,03,15MAR2015,C020,ALESTRA,0.027%
2015,03,15MAR2015,G004,GRUPO TELEVISA,19.543%
2015,03,15MAR2015,G001,AXTEL,3.600%
2015,03,15MAR2015,C373,MAXCOM,1.247%
2015,03,15MAR2015,G006,AMÉRICA MÓVIL,64.211%
2015,03,15MAR2015,C054,AXESAT,0.030%
2015,03,15MAR2015,C259,TRANSTELCO,0.003%
2015,03,15MAR2015,C584,TOTALPLAY,1.288%
2015,03,15MAR2015,C599,TV REY,0.065%
2015,04,15APR2015,C010,AIRECABLE,0.008%
2015,04,15APR2015,G001,AXTEL,3.502%
2015,04,15APR2015,C259,TRANSTELCO,0.004%
2015,04,15APR2015,G004,GRUPO TELEVISA,19.370%
2015,04,15APR2015,C599,TV REY,0.069%
2015,04,15APR2015,G008,MEGACABLE-MCM,11.086%
2015,04,15APR2015,C584,TOTALPLAY,1.319%
2015,04,15APR2015,C373,MAXCOM,1.227%
2015,04,15APR2015,G006,AMÉRICA MÓVIL,63.356%
2015,04,15APR2015,C020,ALESTRA,0.048%
2015,04,15APR2015,C611,ULTRAVISION,0.009%
2015,04,15APR2015,C054,AXESAT,0.002%
2015,05,15MAY2015,C599,TV REY,0.071%
2015,05,15MAY2015,G008,MEGACABLE-MCM,11.239%
2015,05,15MAY2015,C259,TRANSTELCO,0.004%
2015,05,15MAY2015,C611,ULTRAVISION,0.009%
2015,05,15MAY2015,C020,ALESTRA,0.047%
2015,05,15MAY2015,G001,AXTEL,3.425%
2015,05,15MAY2015,C010,AIRECABLE,0.009%
2015,05,15MAY2015,C373,MAXCOM,1.215%
2015,05,15MAY2015,C054,AXESAT,0.002%
2015,05,15MAY2015,G006,AMÉRICA MÓVIL,63.098%
2015,05,15MAY2015,G004,GRUPO TELEVISA,19.537%
2015,05,15MAY2015,C584,TOTALPLAY,1.345%
2015,06,15JUN2015,G008,MEGACABLE-MCM,11.393%
2015,06,15JUN2015,C010,AIRECABLE,0.009%
2015,06,15JUN2015,G006,AMÉRICA MÓVIL,62.842%
2015,06,15JUN2015,C259,TRANSTELCO,0.005%
2015,06,15JUN2015,G001,AXTEL,3.356%
2015,06,15JUN2015,G004,GRUPO TELEVISA,19.668%
2015,06,15JUN2015,C599,TV REY,0.071%
2015,06,15JUN2015,C373,MAXCOM,1.216%
2015,06,15JUN2015,C584,TOTALPLAY,1.383%
2015,06,15JUN2015,C611,ULTRAVISION,0.009%
2015,06,15JUN2015,C054,AXESAT,0.002%
2015,06,15JUN2015,C020,ALESTRA,0.045%
2015,07,15JUL2015,C020,ALESTRA,0.064%
2015,07,15JUL2015,G008,MEGACABLE-MCM,11.478%
2015,07,15JUL2015,C010,AIRECABLE,0.009%
2015,07,15JUL2015,C259,TRANSTELCO,0.005%
2015,07,15JUL2015,G004,GRUPO TELEVISA,20.198%
2015,07,15JUL2015,G001,AXTEL,3.268%
2015,07,15JUL2015,C373,MAXCOM,1.182%
2015,07,15JUL2015,C611,ULTRAVISION,0.009%
2015,07,15JUL2015,C599,TV REY,0.070%
2015,07,15JUL2015,C054,AXESAT,0.003%
2015,07,15JUL2015,G006,AMÉRICA MÓVIL,62.259%
2015,07,15JUL2015,C350,MARCATEL,0.001%
2015,07,15JUL2015,C584,TOTALPLAY,1.453%
2015,08,15AUG2015,C584,TOTALPLAY,1.533%
2015,08,15AUG2015,C259,TRANSTELCO,0.005%
2015,08,15AUG2015,C020,ALESTRA,0.064%
2015,08,15AUG2015,G004,GRUPO TELEVISA,20.310%
2015,08,15AUG2015,G006,AMÉRICA MÓVIL,61.853%
2015,08,15AUG2015,G008,MEGACABLE-MCM,11.767%
2015,08,15AUG2015,C373,MAXCOM,1.167%
2015,08,15AUG2015,C599,TV REY,0.069%
2015,08,15AUG2015,G001,AXTEL,3.207%
2015,08,15AUG2015,C010,AIRECABLE,0.009%
2015,08,15AUG2015,C611,ULTRAVISION,0.010%
2015,08,15AUG2015,C350,MARCATEL,0.001%
2015,08,15AUG2015,C054,AXESAT,0.003%
2015,09,15SEP2015,G008,MEGACABLE-MCM,12.002%
2015,09,15SEP2015,G006,AMÉRICA MÓVIL,61.415%
2015,09,15SEP2015,C259,TRANSTELCO,0.005%
2015,09,15SEP2015,C020,ALESTRA,0.064%
2015,09,15SEP2015,C584,TOTALPLAY,1.623%
2015,09,15SEP2015,G004,GRUPO TELEVISA,20.501%
2015,09,15SEP2015,G001,AXTEL,3.148%
2015,09,15SEP2015,C373,MAXCOM,1.149%
2015,09,15SEP2015,C054,AXESAT,0.004%
2015,09,15SEP2015,C611,ULTRAVISION,0.010%
2015,09,15SEP2015,C599,TV REY,0.068%
2015,09,15SEP2015,C350,MARCATEL,0.001%
2015,09,15SEP2015,C010,AIRECABLE,0.010%
2015,10,15OCT2015,G006,AMÉRICA MÓVIL,61.091%
2015,10,15OCT2015,C020,ALESTRA,0.052%
2015,10,15OCT2015,C010,AIRECABLE,0.010%
2015,10,15OCT2015,C584,TOTALPLAY,1.756%
2015,10,15OCT2015,G004,GRUPO TELEVISA,20.588%
2015,10,15OCT2015,C054,AXESAT,0.004%
2015,10,15OCT2015,C373,MAXCOM,1.147%
2015,10,15OCT2015,G008,MEGACABLE-MCM,12.141%
2015,10,15OCT2015,C599,TV REY,0.069%
2015,10,15OCT2015,C611,ULTRAVISION,0.010%
2015,10,15OCT2015,C350,MARCATEL,0.002%
2015,10,15OCT2015,G001,AXTEL,3.127%
2015,10,15OCT2015,C259,TRANSTELCO,0.005%
2015,11,15NOV2015,G008,MEGACABLE-MCM,12.327%
2015,11,15NOV2015,G006,AMÉRICA MÓVIL,60.736%
2015,11,15NOV2015,C584,TOTALPLAY,1.862%
2015,11,15NOV2015,G004,GRUPO TELEVISA,20.747%
2015,11,15NOV2015,C259,TRANSTELCO,0.005%
2015,11,15NOV2015,G001,AXTEL,3.042%
