FOLIO,CONCESIONARIO,FECHA,ANIO,MES,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,A_TOTAL_E,A_V1_E,A_V2_E,A_V3_E,A_V4_E
100415,"ALESTRA, S. DE R.L. DE C.V.",15AUG2014,2014,08,C020,ALESTRA,C020,ALESTRA,"3,878","2,901",977,0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15SEP2014,2014,09,C020,ALESTRA,C020,ALESTRA,"3,823","2,861",961,1,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15OCT2014,2014,10,C020,ALESTRA,C020,ALESTRA,"3,783","2,829",952,2,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15NOV2014,2014,11,C020,ALESTRA,C020,ALESTRA,"3,735","2,792",941,2,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15DEC2014,2014,12,C020,ALESTRA,C020,ALESTRA,"3,082","2,305",776,1,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15JAN2015,2015,01,C020,ALESTRA,C020,ALESTRA,"3,639","2,721",914,4,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15FEB2015,2015,02,C020,ALESTRA,C020,ALESTRA,"3,711","2,770",938,3,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15MAR2015,2015,03,C020,ALESTRA,C020,ALESTRA,"3,585","2,672",909,4,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15APR2015,2015,04,C020,ALESTRA,C020,ALESTRA,"6,414",39,"4,308","1,944",123
100415,"ALESTRA, S. DE R.L. DE C.V.",15MAY2015,2015,05,C020,ALESTRA,C020,ALESTRA,"6,315",38,"4,242","1,914",121
100415,"ALESTRA, S. DE R.L. DE C.V.",15JUN2015,2015,06,C020,ALESTRA,C020,ALESTRA,"6,174",38,"4,147","1,871",118
100415,"ALESTRA, S. DE R.L. DE C.V.",15JUL2015,2015,07,C020,ALESTRA,C020,ALESTRA,"8,873",54,"5,960","2,689",170
100415,"ALESTRA, S. DE R.L. DE C.V.",15AUG2015,2015,08,C020,ALESTRA,C020,ALESTRA,"9,004",55,"6,048","2,729",172
100415,"ALESTRA, S. DE R.L. DE C.V.",15SEP2015,2015,09,C020,ALESTRA,C020,ALESTRA,"9,141",56,"6,140","2,770",175
100415,"ALESTRA, S. DE R.L. DE C.V.",15OCT2015,2015,10,C020,ALESTRA,C020,ALESTRA,"7,397",45,"4,969","2,242",141
